code,display,definition,synonyms,category
N0045,Nasya,Procedure of nasal drug administration,Nasal therapy,Procedure
N0046,Vamana,Therapeutic emesis procedure,Panchakarma therapy,Procedure
N0047,Virechana,Purgation therapy,Panchakarma therapy,Procedure
N0048,Basti,Medicated enema therapy,Panchakarma therapy,Procedure
N0049,Raktamokshana,Bloodletting therapy,Panchakarma therapy,Procedure
N0050,Swarna Bhasma,Calcined gold preparation,Gold ash,Formulation
N0051,Abhraka Bhasma,Calcined mica preparation,Mica ash,Formulation
N0052,Godanti Bhasma,Calcined gypsum preparation,Gypsum ash,Formulation
N0053,Lauha Bhasma,Calcined iron preparation,Iron ash,Formulation
N0054,Mandoora Bhasma,Calcined iron oxide preparation,Iron oxide ash,Formulation
N0055,Pravala Bhasma,Calcined coral preparation,Coral ash,Formulation
N0056,Mukta Bhasma,Calcined pearl preparation,Pearl ash,Formulation
N0057,Yashada Bhasma,Calcined zinc preparation,Zinc ash,Formulation
N0058,Tamra Bhasma,Calcined copper preparation,Copper ash,Formulation
N0059,Vanga Bhasma,Calcined tin preparation,Tin ash,Formulation
N0060,Rasa Sindura,Processed mercury preparation,Red mercury sulfide,Formulation
N0061,Arogyavardhini,Formulation for liver disorders,Liver tonic,Formulation
N0062,Chandraprabha,Formulation for urinary disorders,Urinary tonic,Formulation
N0063,Yograj Guggulu,Formulation for joint disorders,Guggulu formulation,Formulation
N0064,Mahayograj Guggulu,Advanced formulation for arthritis,Guggulu compound,Formulation
N0065,Simhanada Guggulu,Formulation for gout and arthritis,Guggulu preparation,Formulation
N0066,Kaishora Guggulu,Formulation for skin and joint disorders,Guggulu compound,Formulation
N0067,Trivrit,Herbal drug used as purgative,Operculina turpethum,Dravya
N0068,Danti,Herbal drug used in detoxification,Baliospermum montanum,Dravya
N0069,Sariva,Herb used as blood purifier,Hemidesmus indicus,Dravya
N0070,Patha,Herb used in fever and diarrhea,Cissampelos pareira,Dravya
N0071,Kutaja,Herb used in dysentery,Holarrhena antidysenterica,Dravya
N0072,Chakramarda,Herb used for skin disorders,Cassia tora,Dravya
N0073,Karanja,Herb used for skin diseases,Pongamia pinnata,Dravya
N0074,Bakuchi,Herb used for leucoderma,Psoralea corylifolia,Dravya
N0075,Indrayava,Herb used in digestive disorders,Holarrhena seeds,Dravya
N0076,Gokshura,Herb used for urinary health,Tribulus terrestris,Dravya
N0077,Varuna,Herb used for urinary stones,Crataeva nurvala,Dravya
N0078,Shigru,Herb used for inflammation,Moringa oleifera,Dravya
N0079,Agastya Haritaki,Formulation for respiratory disorders,Haritaki based formulation,Formulation
N0080,Sitopaladi,Formulation for cough and cold,Expectorant formulation,Formulation
N0081,Talisadi,Formulation for respiratory health,Talisadi churna,Formulation
N0082,Eladi Churna,Formulation for digestive health,Eladi formulation,Formulation
N0083,Hingvadi Churna,Formulation for bloating,Hing based churna,Formulation
N0084,Pushyanuga,Formulation for gynecological disorders,Herbal compound,Formulation
N0085,Lodhrasava,Fermented formulation for uterine health,Herbal asava,Formulation
N0086,Drakshasava,Fermented formulation for anemia,Grape based asava,Formulation
N0087,Arjunarishta,Fermented formulation for heart health,Arjuna based arishta,Formulation
N0088,Ashokarishta,Fermented formulation for menstrual disorders,Ashoka based arishta,Formulation
N0089,Dashamoolarishta,Fermented formulation for inflammation,Dashamoola arishta,Formulation
N0090,Kumaryasava,Fermented formulation for liver disorders,Aloe based asava,Formulation
N0091,Balarishta,Fermented formulation for strength,Bala based arishta,Formulation
N0092,Mustakarishta,Fermented formulation for digestion,Musta based arishta,Formulation
N0093,Saraswatarishta,Fermented formulation for cognition,Brahmi based arishta,Formulation
N0094,Lohasava,Fermented formulation for anemia,Iron based asava,Formulation
N0095,Punarnavasava,Fermented formulation for edema,Punarnava based asava,Formulation
N0096,Kanakasava,Fermented formulation for respiratory disorders,Datura based asava,Formulation
N0097,Abhayarishta,Fermented formulation for digestion,Haritaki based arishta,Formulation
N0098,Jeerakadyarishta,Fermented formulation for postpartum care,Jeeraka based arishta,Formulation
N0099,Chitrakadi Vati,Tablet formulation for digestion,Chitraka based tablet,Formulation
N0100,Agnitundi Vati,Tablet formulation for metabolic disorders,Herbal tablet,Formulation
